,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
0,2015-01-02,47.0,male,gun,White,Aloha,OR,not,False,False,"Washington County Sheriff's Office, OR",2015.0
1,2015-01-02,53.0,male,gun,Asian,Shelton,WA,not,False,True,"Mason County Sheriff's Office, WA",2015.0
2,2015-01-03,23.0,male,unarmed,Hispanic,Wichita,KS,not,False,False,"Wichita Police Department, KS",2015.0
3,2015-01-04,18.0,male,gun,White,Guthrie,OK,not,False,False,"Oklahoma Highway Patrol, OK",2015.0
4,2015-01-04,39.0,male,other,Hispanic,Evans,CO,not,False,False,"Evans Police Department, CO",2015.0
5,2015-01-04,32.0,male,replica,White,San Francisco,CA,not,False,True,"San Francisco Police Department, CA",2015.0
6,2015-01-05,22.0,male,gun,Hispanic,Chandler,AZ,car,False,False,"Chandler Police Department, AZ",2015.0
7,2015-01-06,25.0,male,knife,White,Stockton,CA,not,False,False,"Stockton Police Department, CA",2015.0
8,2015-01-06,47.0,male,replica,Black,Knoxville,PA,not,False,False,"U.S. Marshals Service, PA",2015.0
9,2015-01-06,34.0,female,unarmed,White,Burlington,IA,not,True,False,"Burlington Police Department, IA",2015.0
10,2015-01-06,35.0,male,gun,White,Assaria,KS,not,False,False,"Saline County Sheriff's Department, KS",2015.0
11,2015-01-07,37.0,male,gun,Black,New Orleans,LA,foot,True,False,"New Orleans Police Department, LA",2015.0
12,2015-01-07,30.0,male,gun,White,Des Moines,IA,car,False,False,"Des Moines Police Department, IA",2015.0
13,2015-01-07,41.0,male,knife,Black,Columbus,OH,not,False,True,"Columbus Police Department, OH",2015.0
14,2015-01-07,31.0,male,gun,Black,Freeport,TX,not,False,False,"Freeport Police Department, TX",2015.0
15,2015-01-08,49.0,male,gun,White,Syracuse,UT,not,True,False,"Davis County Sheriff's Office, UT;Syracuse Police Department, UT",2015.0
16,2015-01-08,36.0,male,unarmed,Black,Strong,AR,not,False,False,"Union County Sheriff's Department, AR",2015.0
17,2015-01-08,42.0,male,blunt_object,White,Salt Lake City,UT,not,True,False,"Salt Lake City Police Department, UT",2015.0
19,2015-01-09,33.0,male,gun,Hispanic,El Paso,TX,not,False,False,"El Paso Police Department, TX",2015.0
20,2015-01-09,71.0,male,gun,White,England,AR,not,False,False,"England Police Department, AR",2015.0
21,2015-01-11,29.0,male,gun,Hispanic,North Las Vegas,NV,foot,False,False,"North Las Vegas Police Department, NV",2015.0
22,2015-01-11,23.0,male,gun,Hispanic,South Gate,CA,not,False,False,"South Gate Police Department, CA",2015.0
23,2015-01-11,39.0,male,gun,White,Arcola,IL,not,False,True,"Arcola Police Department, IL",2015.0
24,2015-01-13,43.0,male,knife,White,Jourdanton,TX,not,False,True,"Jourdanton Police Department, TX",2015.0
25,2015-01-13,34.0,male,gun,White,Albuquerque,NM,foot,True,False,"Albuquerque Police Department, NM",2015.0
26,2015-01-14,34.0,male,knife,White,Draper,UT,not,True,False,"Draper Police Department, UT;West Valley City Police Department, UT",2015.0
27,2015-01-14,68.0,male,gun,White,Lake Jackson,TX,not,False,False,"Lake Jackson Police Department, TX",2015.0
28,2015-01-14,75.0,male,knife,White,Old Bridge,NJ,not,False,False,"Old Bridge Police Department, NJ",2015.0
29,2015-01-14,34.0,male,gun,Black,Chesapeake,VA,not,False,True,"Chesapeake Police Department, VA",2015.0
32,2015-01-15,33.0,male,gun,White,Evangeline Parish,LA,not,False,False,"Louisiana State Police, LA",2015.0
33,2015-01-15,36.0,male,knife,Hispanic,Fairfield,CA,not,False,True,"Fairfield Police Department, CA",2015.0
34,2015-01-15,24.0,male,gun,White,Bloomington,MN,not,False,True,"Bloomington Police Department, MN",2015.0
35,2015-01-15,39.0,male,gun,Black,Aurora,CO,not,False,False,"Aurora Police Department, CO",2015.0
36,2015-01-15,27.0,male,gun,Black,Indianapolis,IN,foot,False,False,"Indianapolis Metropolitan Police Department, IN",2015.0
37,2015-01-16,48.0,male,knife,Other,Fremont,CA,not,False,False,"Fremont Police Department, CA",2015.0
38,2015-01-16,41.0,male,gun,White,Mabank,TX,car,False,False,"Texas Rangers, TX",2015.0
39,2015-01-17,27.0,male,knife,Hispanic,Fort Worth,TX,not,False,False,"Fort Worth Police Department, TX",2015.0
40,2015-01-17,24.0,male,gun,Hispanic,Los Angeles,CA,not,False,False,"Los Angeles Police Department, CA",2015.0
41,2015-01-17,21.0,male,gun,Black,Muskogee,OK,foot,True,False,"Muskogee Police Department, OK",2015.0
42,2015-01-18,67.0,male,gun,White,Gunlock,KY,not,False,True,"Kentucky State Police, KY",2015.0
43,2015-01-18,32.0,male,gun,White,Maricopa,AZ,not,False,True,"Maricopa Police Department, AZ",2015.0
44,2015-01-19,49.0,male,knife,White,Weymouth,MA,not,False,False,"Weymouth Police Department, MA",2015.0
46,2015-01-21,54.0,male,gun,White,Derry,NH,not,False,True,"Derry Police Department, NH",2015.0
47,2015-01-21,19.0,male,gun,Black,St. Louis,MO,not,False,False,"St. Louis Police Department, MO",2015.0
48,2015-01-21,36.0,male,gun,Hispanic,Chapeno,TX,foot,False,False,"U.S. Border Patrol, TX",2015.0
49,2015-01-21,36.0,male,gun,White,Hemet,CA,not,False,False,"Riverside County Sheriff's Department, CA",2015.0
50,2015-01-22,17.0,female,knife,White,Longview,TX,not,False,True,"Longview Police Department, TX",2015.0
51,2015-01-22,25.0,male,replica,Black,Sierra Blanca,TX,car,False,False,"U.S. Border Patrol, TX",2015.0
52,2015-01-23,61.0,male,gun,White,Austin,TX,not,False,True,"Austin Police Department, TX",2015.0
53,2015-01-23,56.0,male,knife,Hispanic,Levelland,TX,not,False,False,"Levelland Police Department, TX",2015.0
55,2015-01-24,40.0,male,gun,White,Fort Worth,TX,not,False,False,"Fort Worth Police Department, TX",2015.0
56,2015-01-24,26.0,male,knife,Black,Baltimore,MD,not,False,True,"Baltimore Police Department, MD",2015.0
57,2015-01-24,45.0,male,gun,White,Rexburg,ID,not,False,False,"Rexburg Police Department, ID",2015.0
58,2015-01-25,59.0,male,gun,Unknown,Winslow,NJ,not,False,False,"Winslow Police Department, NJ",2015.0
59,2015-01-25,26.0,male,gun,Hispanic,Pueblo,CO,car,False,False,"Pueblo Police Department, CO",2015.0
60,2015-01-26,34.0,male,knife,Hispanic,Wasco,CA,not,False,True,"Kern County Sheriff's Office, CA",2015.0
61,2015-01-26,24.0,male,unarmed,Hispanic,Tahoka,TX,car,False,False,"Lynn County Sheriff's Office, TX",2015.0
62,2015-01-26,68.0,male,gun,White,New Hope,MN,not,False,True,"Minneapolis Police Department, MN;New Hope Police Department, MN",2015.0
63,2015-01-26,17.0,female,vehicle,Hispanic,Denver,CO,not,False,False,"Denver Police Department, CO",2015.0
64,2015-01-27,33.0,male,gun,Black,Columbus,OH,not,False,False,"U.S. Marshals Service, OH",2015.0
65,2015-01-27,29.0,male,gun,White,Morenci,AZ,not,False,False,"Clifton Police Department, AZ;Greenlee County Sheriff's Office, AZ",2015.0
67,2015-01-27,39.0,female,knife,White,Omaha,NE,not,False,True,"Omaha Police Department, NE",2015.0
68,2015-01-28,26.0,male,gun,White,Rosenberg,TX,not,False,False,"Rosenberg Police Department, TX",2015.0
69,2015-01-28,35.0,male,blunt_object,Asian,Stockton,CA,not,False,True,"Stockton Police Department, CA",2015.0
70,2015-01-28,45.0,male,gun,White,Sunset,TX,not,False,False,"Wise County Sheriff's Office, TX",2015.0
71,2015-01-29,42.0,male,unarmed,White,Stillwater,OK,foot,False,False,"Stillwater Police Department, OK",2015.0
72,2015-01-29,31.0,male,gun,White,Wyoming,MI,not,False,True,"Kentwood Police Department, MI;Wyoming Police Department, MI",2015.0
73,2015-01-30,48.0,male,gun,White,Billings,MT,foot,False,False,"Billings Police Department, MT",2015.0
74,2015-01-31,54.0,male,knife,Black,Randallstown,MD,not,False,True,"Baltimore County Police Department, MD",2015.0
75,2015-01-31,31.0,male,gun,Hispanic,Houston,TX,not,False,False,"Harris County Sheriff's Office, TX",2015.0
76,2015-02-02,17.0,male,gun,White,Bay City,MI,not,False,False,"Bay City Police Department, MI",2015.0
77,2015-02-02,42.0,male,gun,White,Apple Valley,CA,not,False,True,"San Bernardino County Sheriff's Department, CA",2015.0
78,2015-02-02,59.0,male,unarmed,White,Hummelstown,PA,foot,False,False,"Hummelstown Police Department, PA",2015.0
79,2015-02-03,45.0,male,gun,White,Douglas,GA,not,False,True,"Douglas Police Department, GA",2015.0
80,2015-02-03,29.0,male,knife,Black,Antioch,CA,not,False,True,"Contra Costa Sheriff's Office, CA",2015.0
81,2015-02-03,38.0,female,gun,Black,Emeryville,CA,car,False,False,"Emeryville Police Department, CA",2015.0
82,2015-02-03,23.0,male,gun,Black,St. Louis,MO,foot,False,False,"St. Louis Police Department, MO",2015.0
83,2015-02-04,36.0,male,knife,Black,Memphis,TN,not,False,False,"U.S. Marshals Service, TN",2015.0
84,2015-02-04,51.0,male,gun,Black,Lorena,TX,car,False,False,"Waco Police Department, TX",2015.0
85,2015-02-04,28.0,male,unarmed,Hispanic,Tempe,AZ,not,False,False,"Chandler Police Department, AZ;Mesa Police Department, AZ;Tempe Police Department, AZ;U.S. Marshals Service, AZ",2015.0
86,2015-02-04,28.0,male,gun,Hispanic,Tempe,AZ,car,False,False,"Chandler Police Department, AZ;Mesa Police Department, AZ;Tempe Police Department, AZ;U.S. Marshals Service, AZ",2015.0
87,2015-02-04,37.0,male,gun,Hispanic,Orlando,FL,not,False,False,"Orlando Police Department, FL",2015.0
88,2015-02-04,28.0,male,unarmed,Black,Tallahassee,FL,not,False,False,"Tallahassee Police Department, FL",2015.0
89,2015-02-05,59.0,male,replica,White,Chino,CA,car,False,False,"Corona Police Department, CA",2015.0
90,2015-02-06,25.0,male,gun,Black,Oklahoma City,OK,not,False,False,"Oklahoma City Police Department, OK",2015.0
91,2015-02-07,74.0,male,gun,Black,Gastonia,NC,not,False,False,"Gastonia Police Department, NC",2015.0
92,2015-02-07,26.0,male,replica,White,Calimesa,CA,not,False,False,"Riverside County Sheriff's Department, CA",2015.0
93,2015-02-08,41.0,male,gun,White,Nocona,TX,not,False,False,"Nocona Police Department, TX",2015.0
94,2015-02-08,46.0,male,gun,White,Orange County,FL,not,False,False,"Orange County Sheriff's Office, FL",2015.0
95,2015-02-08,57.0,male,gun,White,New City,NY,not,False,True,"Clarkstown Police Department, NY",2015.0
96,2015-02-08,27.0,male,gun,White,Austin,TX,not,False,False,"Austin Police Department, TX",2015.0
97,2015-02-08,33.0,male,gun,White,Anchorage,AK,car,False,False,"Anchorage Police Department, AK",2015.0
98,2015-02-09,45.0,male,gun,Black,Dallas,TX,not,False,False,"Dallas Police Department, TX",2015.0
99,2015-02-09,61.0,male,gun,White,Smyrna,ME,not,False,True,"Aroostook County Sheriff's Office, ME;Maine State Police, ME",2015.0
100,2015-02-10,45.0,male,gun,White,New Castle,CO,car,False,True,"Garfield County Sheriff's Office, CO",2015.0
101,2015-02-10,49.0,male,gun,Black,Whitehaven,TN,not,False,False,"Memphis Police Department, TN",2015.0
102,2015-02-10,35.0,male,unarmed,Hispanic,Pasco,WA,foot,False,True,"Pasco Police Department, WA",2015.0
103,2015-02-11,46.0,male,replica,White,Dadeville,AL,foot,True,True,"Tallapoosa County Sheriff's Department, AL",2015.0
104,2015-02-11,23.0,male,knife,Black,San Jose,CA,not,False,True,"San Jose Police Department, CA",2015.0
105,2015-02-13,37.0,male,knife,Hispanic,San Manuel,AZ,not,False,True,"Pinal County Sheriff's Department, AZ",2015.0
106,2015-02-13,27.0,male,gun,White,McLemoresville,TN,not,False,False,"Carroll County Sheriff's Department, TN",2015.0
107,2015-02-13,35.0,male,unarmed,Hispanic,Reading,PA,not,False,False,"Pennsylvania State Police, PA",2015.0
108,2015-02-13,21.0,male,gun,Hispanic,Kansas City,KS,car,False,False,"Kansas City Police Department, KS;Kansas Highway Patrol, KS",2015.0
110,2015-02-14,51.0,male,gun,White,Laredo,TX,not,False,False,"Laredo Police Department, TX",2015.0
111,2015-02-14,16.0,male,gun,White,Essex,MD,car,False,True,"Baltimore County Police Department, MD",2015.0
112,2015-02-15,34.0,male,knife,White,Colton,OR,not,False,True,"Clackamas County Sheriff's Office, OR",2015.0
113,2015-02-15,34.0,male,gun,White,Iuka,MS,foot,False,False,"Iuka Police Department, MS",2015.0
114,2015-02-15,25.0,male,unarmed,Black,Miami Gardens,FL,not,False,True,"Miami Gardens Police Department, FL",2015.0
115,2015-02-16,24.0,male,replica,White,Provo,UT,not,False,True,"Provo Police Department, UT",2015.0
116,2015-02-16,26.0,male,gun,White,Boise,ID,not,False,False,"Boise Police Department, ID",2015.0
117,2015-02-16,56.0,male,gun,White,Marana,AZ,not,False,False,"Marana Police Department, AZ",2015.0
119,2015-02-17,30.0,male,replica,White,Tewksbury,MA,foot,False,False,"Tewksbury Police Department, MA",2015.0
120,2015-02-17,32.0,male,gun,White,Eaton Rapids Township,MI,not,False,False,"Eaton County Sheriff's Department, MI",2015.0
121,2015-02-17,31.0,male,unarmed,White,Springfield,MO,foot,False,False,"Springfield Police Department, MO",2015.0
122,2015-02-17,43.0,female,gun,White,Gaston County,NC,not,False,False,"Gastonia Police Department, NC",2015.0
123,2015-02-18,20.0,female,knife,Black,Charlotte,NC,not,False,True,"Charlotte Mecklenburg Police Department, NC",2015.0
124,2015-02-20,37.40950678304764,male,gun,Hispanic,Houston,TX,car,False,False,"U.S. Marshals Service, TX",2015.0
125,2015-02-20,77.0,male,gun,Black,Birmingham,AL,not,False,True,"Birmingham Police Department, AL",2015.0
126,2015-02-20,38.0,male,gun,Black,Homewood,AL,not,False,False,"Homewood Police Department, AL",2015.0
127,2015-02-20,31.0,male,unarmed,Hispanic,Euless,TX,not,False,False,"Euless Police Department, TX;Grapevine Police Department, TX",2015.0
128,2015-02-21,51.0,male,knife,White,Indianapolis,IN,not,False,False,"Indianapolis Metropolitan Police Department, IN",2015.0
129,2015-02-21,41.0,male,gun,White,Ruidoso,NM,not,False,False,"New Mexico State Police, NM",2015.0
130,2015-02-22,50.0,male,gun,White,Palm Bay,FL,not,False,False,"Palm Bay Police Department, FL",2015.0
131,2015-02-23,39.0,male,unarmed,White,Omaha,NE,not,False,False,"Omaha Police Department, NE",2015.0
132,2015-02-23,42.0,male,knife,White,Allentown,PA,car,False,False,"Allentown Police Department, PA;Catasauqua Police Department, PA;Pennsylvania State Police, PA",2015.0
133,2015-02-23,16.0,male,gun,Black,Millbrook,AL,not,False,False,"Millbrook Police Department, AL",2015.0
134,2015-02-23,41.0,male,gun,White,Clarkesville,GA,foot,False,False,"Habersham County Sheriff's Department, GA",2015.0
135,2015-02-23,37.0,male,knife,White,Powder Springs,GA,not,False,False,"Cobb County Sheriff's Department, GA;Paulding County Sheriff's Department, GA;U.S. Marshals Service, GA",2015.0
136,2015-02-23,47.0,male,gun,White,Denham Springs,LA,not,False,True,"Denham Springs Police Department, LA",2015.0
137,2015-02-24,30.0,male,knife,White,Green Bay,WI,not,False,True,"Green Bay Police Department, WI",2015.0
138,2015-02-25,43.0,male,gun,White,Las Vegas,NV,not,False,True,"Las Vegas Metropolitan Police Department, NV",2015.0
140,2015-02-26,34.0,female,gun,White,Sylvester,GA,car,False,False,"Worth County Sheriff's Department, GA",2015.0
141,2015-02-26,49.0,male,unarmed,White,Gulfport,MS,not,False,False,"Gulfport Police Department, MS",2015.0
142,2015-02-26,21.0,male,knife,Hispanic,San Francisco,CA,not,False,False,"San Francisco Police Department, CA",2015.0
143,2015-02-26,42.0,male,gun,Hispanic,Lakeland,FL,foot,False,False,"Lakeland Police Department, FL",2015.0
144,2015-02-26,31.0,male,unarmed,White,Terre Haute,IN,not,False,False,"Terre Haute Police Department, IN;U.S. Marshals Service, IN",2015.0
145,2015-02-27,27.0,male,unarmed,Hispanic,Santa Ana,CA,not,False,False,"Santa Ana Police Department, CA",2015.0
146,2015-02-28,37.0,female,gun,White,La Paz County,AZ,car,False,False,"Riverside County Sheriff's Department, CA",2015.0
147,2015-02-28,40.0,male,gun,Black,Tarboro,NC,car,False,True,"Edgecombe County Sheriff's Department, NC;Tarboro Police Department, NC",2015.0
148,2015-02-28,28.0,male,gun,Black,Columbia,MO,car,False,False,"Boone County Sheriff's Department, MO",2015.0
149,2015-02-28,28.0,female,knife,Hispanic,Tucson,AZ,not,False,False,"Tucson Police Department, AZ",2015.0
150,2015-02-28,34.0,male,unarmed,Black,St Louis,MO,car,False,False,"Wellston Police Department, MO",2015.0
151,2015-02-28,17.0,male,unarmed,White,Roxand Township,MI,not,True,False,"Eaton County Sheriff's Department, MI",2015.0
152,2015-02-28,24.0,male,gun,White,Pelzer,SC,not,False,False,"Greenville County Sheriff's Department, SC",2015.0
153,2015-03-01,49.0,male,gun,White,Barton,MS,not,False,False,"George County Sheriff's Department, MS",2015.0
154,2015-03-01,35.0,male,gun,Asian,Houston,TX,not,False,False,"Harris County Sheriff's Office, TX",2015.0
155,2015-03-01,43.0,male,unarmed,Black,Los Angeles,CA,not,True,True,"Los Angeles Police Department, CA",2015.0
156,2015-03-02,20.0,male,gun,Black,Joilet,IL,foot,False,False,"Joliet Police Department, IL",2015.0
157,2015-03-03,25.0,male,knife,White,Tempe,AZ,not,False,False,"Tempe Police Department, AZ",2015.0
158,2015-03-03,25.0,male,gun,Black,Salisbury,MD,not,False,False,"Wicomico County Sheriff's Office, MD",2015.0
159,2015-03-04,28.0,male,gun,Asian,Stockton,CA,not,False,False,"San Joaquin County Sheriff's Office, CA;Stockton Police Department, CA",2015.0
160,2015-03-04,26.0,male,unarmed,White,Deltona,FL,not,False,False,"Volusia County Sheriff's Department, FL",2015.0
161,2015-03-05,34.0,male,gun,White,Lincoln,NE,not,False,False,"U.S. Marshals Service, NE",2015.0
162,2015-03-05,36.0,male,unarmed,Hispanic,Burbank,CA,car,False,False,"Los Angeles Police Department, CA",2015.0
163,2015-03-05,45.0,male,knife,Black,Milwaukee,WI,not,False,True,"Milwaukee Police Department, WI",2015.0
165,2015-03-06,37.0,male,unarmed,Black,Aurora,CO,foot,False,False,"Aurora Police Department, CO",2015.0
166,2015-03-06,19.0,male,unarmed,Black,Madison,WI,foot,False,False,"Madison Police Department, WI",2015.0
167,2015-03-07,29.0,male,gun,White,Phoenix,AZ,not,False,False,"Phoenix Police Department, AZ",2015.0
169,2015-03-08,40.0,male,gun,Hispanic,Oklahoma City,OK,not,False,False,"Oklahoma City Police Department, OK",2015.0
170,2015-03-08,43.0,female,knife,Black,Anaheim,CA,not,True,True,"Anaheim Police Department, CA",2015.0
171,2015-03-09,30.0,male,gun,Black,Cocoa,FL,not,False,False,"Brevard County Sheriff's Office, FL;Cocoa Police Department, FL",2015.0
172,2015-03-09,46.0,male,gun,White,Dinosaur,CO,not,False,False,"Colorado Parks AND Wildlife, CO;Moffat County Sheriff's Office, CO",2015.0
173,2015-03-09,58.0,male,gun,White,Brevard,NC,not,False,False,"Homeland Security, NC;N.C. Alcohol Law Enforcement, NC;Transylvania County Sheriff's Department, NC",2015.0
174,2015-03-09,27.0,male,unarmed,Black,Atlanta,GA,not,False,True,"DeKalb County Police Department, GA",2015.0
175,2015-03-10,37.0,male,knife,Hispanic,Ontario,CA,car,False,True,"Ontario Police Department, CA",2015.0
176,2015-03-10,23.0,male,knife,White,Port Wentworth,GA,not,True,False,"Port Wentworth Police Department, GA",2015.0
177,2015-03-10,31.0,male,gun,Black,Baton Rouge,LA,not,False,False,"U.S. Marshals Service, LA",2015.0
178,2015-03-10,64.0,male,gun,Black,Cleveland,OH,not,True,False,"Cleveland Police Department, OH",2015.0
180,2015-03-11,53.0,male,gun,White,Hoover,AL,not,False,True,"Hoover Police Department, AL",2015.0
181,2015-03-11,54.0,male,gun,White,Bay Minette,AL,not,False,False,"Baldwin County Sheriff's Department, AL",2015.0
182,2015-03-11,31.0,male,replica,White,Kingman,AZ,not,False,True,"Kingman Police Department, AZ",2015.0
183,2015-03-11,39.0,male,gun,Hispanic,Santa Ana,CA,not,False,False,"Santa Ana Police Department, CA",2015.0
184,2015-03-11,31.0,male,gun,White,Memphis,TN,not,False,True,"Memphis Police Department, TN",2015.0
186,2015-03-12,35.0,male,unarmed,Black,Washington,DC,not,False,True,"Metro Transit Police Department, DC",2015.0
187,2015-03-13,32.0,male,unarmed,Hispanic,Walnut Creek,CA,foot,False,False,"Los Angeles County Sheriff's Department, CA",2015.0
188,2015-03-13,36.0,male,knife,White,Fontana,CA,not,False,False,"Fontana Police Department, CA",2015.0
189,2015-03-13,59.0,male,gun,White,Kansas City,MO,not,False,False,"U.S. Marshals Service, MO",2015.0
190,2015-03-13,41.0,male,gun,Hispanic,Napa,CA,other,False,False,"Napa Police Department, CA",2015.0
191,2015-03-14,29.0,male,gun,Hispanic,San Antonio,TX,not,False,True,"San Antonio Police Department, TX",2015.0
192,2015-03-14,26.0,male,gun,White,Kenosha,WI,car,False,False,"Kenosha Police Department, WI",2015.0
193,2015-03-14,53.0,male,knife,White,Follansbee,WV,not,False,False,"West Virginia State Police, WV",2015.0
194,2015-03-15,27.0,male,knife,White,Ruth,MS,not,False,False,"Pike County Police Department, MS",2015.0
195,2015-03-16,52.0,male,gun,White,Gastonia,NC,not,False,True,"Gaston County Police Department, NC",2015.0
196,2015-03-16,28.0,male,gun,White,St. Paul,MN,not,False,True,"St. Paul Police Department, MN",2015.0
197,2015-03-17,22.0,male,unarmed,Hispanic,Sacramento,CA,car,False,False,"California Highway Patrol, CA",2015.0
198,2015-03-17,20.0,male,gun,White,Onalaska,TX,not,False,True,"Onalaska Police Department, TX",2015.0
199,2015-03-17,24.0,female,vehicle,White,San Francisco,CA,not,False,True,"San Francisco Police Department, CA",2015.0
200,2015-03-17,24.0,male,gun,White,Dublin,NC,foot,False,False,"Bladenboro Police Department, NC;Bladen County Sheriff's Department, NC",2015.0
201,2015-03-17,49.0,male,gun,White,Medford,OR,not,False,True,"Medford Police Department, OR",2015.0
202,2015-03-18,47.0,male,knife,White,Bakersfield,CA,not,False,False,"Bakersfield Police Department, CA",2015.0
203,2015-03-18,64.0,male,gun,White,Tallahassee,FL,not,False,False,"Tallahassee Police Department, FL",2015.0
204,2015-03-18,49.0,female,gun,White,Glendale,AZ,not,False,False,"Glendale Police Department, AZ",2015.0
205,2015-03-19,36.0,male,gun,White,Bakersfield,CA,not,False,False,"Bakersfield Police Department, CA",2015.0
206,2015-03-19,20.0,male,unarmed,White,Sumas,WA,not,False,True,"U.S. Border Patrol, WA",2015.0
207,2015-03-19,16.0,male,gun,Black,Jacksonville,FL,car,False,False,"Jacksonville Sheriff's Office, FL",2015.0
208,2015-03-19,31.0,male,gun,White,Middleton,ID,not,True,False,"Canyon County Sheriff's Office, ID",2015.0
209,2015-03-19,18.0,male,unarmed,Black,Cleveland,OH,not,False,False,"Cleveland Police Department, OH",2015.0
210,2015-03-19,39.0,male,knife,White,Lawrence County,AL,not,True,True,"Lawrence County Sheriff's Office, AL",2015.0
211,2015-03-20,24.0,male,gun,Native American,Red Valley,AZ,car,False,False,"Navajo Nation Police Department, AZ",2015.0
212,2015-03-20,34.0,male,gun,White,Coal County,OK,not,False,False,"Oklahoma Highway Patrol, OK",2015.0
213,2015-03-20,63.0,male,knife,Black,New Orleans,LA,not,False,True,"Jefferson Parish Sheriff's Office, LA",2015.0
214,2015-03-21,42.0,male,gun,White,Columbus,OH,not,False,False,"Columbus Police Department, OH",2015.0
215,2015-03-21,60.0,male,gun,White,Harmony,IN,not,False,True,"Clay County Sheriff Department, IN",2015.0
216,2015-03-21,44.0,male,gun,White,Clarendon,NY,car,False,False,"Orleans County Sheriff's Department, NY",2015.0
217,2015-03-21,21.0,male,gun,White,Cottonwood,AZ,not,False,False,"Cottonwood Police Department, AZ",2015.0
218,2015-03-22,21.0,male,undetermined,Black,Islip,NY,car,False,False,"Suffolk County Police Department, NY",2015.0
219,2015-03-22,36.0,male,knife,White,Portland,OR,foot,False,True,"Portland Police Department, OR",2015.0
220,2015-03-22,37.0,male,knife,White,Vallejo,CA,not,False,True,"Vallejo Police Department, CA",2015.0
221,2015-03-23,24.0,male,gun,Black,Santa Clara,CA,not,False,False,"Santa Clara Police Department, CA",2015.0
222,2015-03-24,38.0,male,gun,White,Fond du Lac,WI,not,False,False,"Wisconsin State Patrol, WI",2015.0
223,2015-03-24,57.0,male,gun,White,San Jose,CA,not,False,True,"San Jose Police Department, CA",2015.0
224,2015-03-24,29.0,male,gun,Black,Portsmouth,VA,car,False,True,"Portsmouth Police Department, VA",2015.0
225,2015-03-25,63.0,male,gun,White,Glendale,AZ,not,False,True,"Glendale Police Department, AZ",2015.0
226,2015-03-25,28.0,male,gun,Hispanic,South Los Angeles,CA,foot,False,False,"Los Angeles County Sheriff's Department, CA",2015.0
227,2015-03-25,27.0,male,gun,Black,Johnsonville,SC,foot,False,False,"Florence County Sheriff's Office, SC",2015.0
228,2015-03-25,23.0,male,undetermined,Black,Smyrna,GA,car,True,False,"Smyrna Police Department, GA",2015.0
229,2015-03-26,35.0,male,knife,Hispanic,Wilmington,CA,not,False,True,"Los Angeles Police Department, CA",2015.0
230,2015-03-26,53.0,female,gun,White,Gardner,KS,not,False,False,"Gardner Police Department, KS",2015.0
231,2015-03-27,40.0,male,gun,White,Webster,MA,foot,False,False,"Webster Police Department, MA",2015.0
232,2015-03-27,23.0,male,replica,Hispanic,Bakersfield,CA,car,False,False,"Bakersfield Police Department, CA",2015.0
233,2015-03-27,39.0,male,knife,Black,Fort Pierce,FL,not,False,False,"St. Lucie County Sheriff's Office, FL",2015.0
234,2015-03-27,56.0,male,gun,White,Encinitas,CA,not,False,True,"San Diego County Sheriff's Department, CA",2015.0
235,2015-03-27,41.0,male,gun,Black,Boston,MA,not,False,False,"Boston Police Department, MA",2015.0
236,2015-03-27,42.0,male,gun,White,Fort Ashby,WV,car,False,False,"West Virginia State Police, WV",2015.0
237,2015-03-27,26.0,female,knife,Black,Oxnard,CA,not,False,False,"Oxnard Police Department, CA",2015.0
239,2015-03-29,29.0,male,gun,Black,Elizabethtown,KY,not,False,False,"Elizabethtown Police Department, KY",2015.0
240,2015-03-30,49.0,male,gun,White,Eugene,OR,not,False,True,"Eugene Police Department, OR",2015.0
241,2015-03-30,54.0,male,gun,Unknown,Boulder City,NV,not,False,False,"Boulder City Police Department, NV",2015.0
242,2015-03-31,27.0,female,vehicle,Black,Fort Meade,MD,car,False,False,"National Security Agency Police Department, MD",2015.0
243,2015-03-31,21.0,male,replica,Hispanic,Baytown,TX,not,False,False,"Baytown Police Department, TX",2015.0
244,2015-03-31,36.0,male,gun,White,Carollwood,FL,not,False,False,"Tampa Police Department, FL;U.S. Marshals Service, FL",2015.0
245,2015-04-01,36.0,male,knife,White,Hamilton,NJ,not,False,False,"Hamilton Police Department, NJ",2015.0
246,2015-04-01,37.0,male,gun,Black,Hawthorne,CA,not,False,False,"Hawthorne Police Department, CA",2015.0
247,2015-04-02,27.0,male,gun,White,Pineville,LA,not,False,True,"Rapides Parish Sheriff's Office, LA",2015.0
248,2015-04-02,44.0,male,unarmed,Black,Tulsa,OK,not,False,False,"Tulsa County Sheriff's Office, OK",2015.0
249,2015-04-02,63.0,male,gun,White,Metropolis,IL,not,False,True,"Brookport Police Department, IL;Illinois State Police, IL;Massac County Sheriff's Department, IL",2015.0
250,2015-04-02,32.0,male,gun,Black,Rock Island,IL,foot,False,False,"Rock Island Police Department, IL",2015.0
251,2015-04-03,38.0,male,knife,White,Winchester,VA,not,True,False,"Frederick County Sheriff's Office, VA",2015.0
252,2015-04-04,34.0,male,gun,White,Edgewood,NM,car,False,True,"New Mexico State Police, NM",2015.0
253,2015-04-04,31.0,male,gun,Black,Orange,CA,not,True,False,"Anaheim Police Department, CA",2015.0
