,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
4308,2019-05-23,56.0,male,gun,White,Wichita,KS,not,False,True,"Wichita Police Department, KS",2019.0
4309,2019-05-23,28.0,male,gun,White,Pearl River County,MS,car,False,True,"Pearl River County Sheriff's Department, MS",2019.0
4310,2019-05-23,41.0,male,unarmed,White,Montgomery,NY,not,False,False,"New York State Police, NY",2019.0
4311,2019-05-24,59.0,male,unknown,Other,Fort Lauderdale,FL,other,False,False,"U.S. Marshals Fugitive Task Force, Florida, FL",2019.0
4312,2019-05-24,35.0,male,gun,Hispanic,Houston,TX,not,False,False,"Houston Police Department, TX",2019.0
4313,2019-05-24,41.0,male,gun,White,Indian River County,FL,car,False,False,"Indian River County Sheriff's Office, FL",2019.0
4315,2019-05-26,30.0,male,gun,Black,Kansas City,MO,foot,False,False,"Kansas City Police Department, MO",2019.0
4316,2019-05-27,41.0,male,gun,Black,Joliet,IL,not,False,False,"Joliet Police Department, IL",2019.0
4317,2019-05-27,49.0,male,gun,White,Wichita,KS,foot,False,True,"Sedgwick County Sheriff's Office, KS;Wichita Police Department, KS",2019.0
4318,2019-05-28,21.0,male,gun,Black,Chicago,IL,not,False,False,"Chicago Police Department, IL",2019.0
4319,2019-05-29,62.0,male,gun,White,Wilmington,NC,not,False,True,"Wilmington Police Department, NC",2019.0
4320,2019-05-30,58.0,male,gun,White,Havre de Grace,MD,not,False,True,"Harford County Sheriff's Office, MD",2019.0
4321,2019-05-30,22.0,male,gun,Hispanic,Amarillo,TX,foot,False,False,"Amarillo Police Department, TX",2019.0
4322,2019-05-30,32.0,female,gun,Black,Huntsville,AL,not,False,True,"Huntsville Police Department, AL",2019.0
4323,2019-05-30,37.40950678304764,female,"gun,knife",Hispanic,Ontario,CA,not,True,True,"Ontario Police Department, CA",2019.0
4324,2019-05-31,26.0,male,unarmed,Asian,Auburn,WA,not,False,True,"Auburn Police Department, WA",2019.0
4325,2019-05-31,32.0,male,vehicle,White,Gorham,ME,car,False,False,"Gorham Police Department, ME",2019.0
4326,2019-06-01,38.0,male,blunt_object,White,Fort Worth,TX,not,False,True,"Fort Worth Police Department, TX",2019.0
4327,2019-06-01,35.0,male,knife,Black,Shreveport,LA,not,False,False,"Shreveport Police Department, LA",2019.0
4328,2019-06-01,27.0,male,gun,White,Anderson,CA,not,False,False,"Anderson Police Department, CA",2019.0
4329,2019-06-01,35.0,male,unarmed,Native American,Bartlesville,OK,not,False,True,"Bartlesville Police Department, OK",2019.0
4330,2019-06-02,23.0,male,blunt_object,Black,Walnut Creek,CA,not,True,True,"Walnut Creek Police Department, CA",2019.0
4331,2019-06-03,41.0,male,unarmed,White,Detroit,MI,car,False,False,"Detroit Police Department, MI",2019.0
4333,2019-06-03,23.0,male,gun,White,San Ysidro,CA,car,False,True,"U.S. Customs and Border Control, CA",2019.0
4334,2019-06-03,59.0,male,gun,White,Collierville,TN,not,False,True,"Collierville Police Department, TN",2019.0
4335,2019-06-04,45.0,male,gun,White,Indialantic,FL,not,False,False,"Brevard County Sheriff's Office, FL",2019.0
4336,2019-06-04,56.0,male,knife,White,Davidsonville,MD,not,False,False,"Anne Arundel County Police Department, MD",2019.0
4337,2019-06-05,39.0,male,gun,White,Escalon,CA,not,False,False,"Escalon Police Department, CA",2019.0
4338,2019-06-05,54.0,male,knife,White,Trinity,NC,not,False,True,"Randolph County Sheriff's Office, NC",2019.0
4339,2019-06-05,37.40950678304764,male,gun,White,Jonesboro,AR,not,False,True,"Jonesboro Police Department, AR",2019.0
4340,2019-06-05,28.0,male,gun,Hispanic,Bernalillo,NM,not,False,False,"Bernalillo County Sheriff's Department, NM",2019.0
4341,2019-06-06,58.0,male,gun,White,Bonnyman,KY,not,False,False,"Perry County Sheriff's Office, KY",2019.0
4342,2019-06-06,26.0,male,gun,Black,St. Louis,MO,foot,False,False,"St. Louis Police Department, MO",2019.0
4343,2019-06-06,35.0,male,gun,Hispanic,San Gabriel,CA,not,False,False,"San Gabriel Police Department, CA",2019.0
4344,2019-06-06,37.40950678304764,male,gun,Hispanic,Modesto,CA,not,False,False,"Stanislaus County Sheriff's Department, CA",2019.0
4346,2019-06-06,27.0,male,gun,Black,Los Angeles,CA,not,False,False,"Los Angeles County Sheriff's Department, CA",2019.0
4347,2019-06-06,41.0,male,knife,Hispanic,Los Angeles,CA,not,True,False,"Los Angeles Police Department, CA",2019.0
4348,2019-06-06,24.0,male,unarmed,Black,Los Angeles,CA,car,False,False,"Los Angeles County Sheriff's Department, CA",2019.0
4349,2019-06-07,46.0,male,gun,White,Bristol,TN,not,False,False,"Bristol Tennessee Police Department, TN",2019.0
4350,2019-06-08,33.0,female,blunt_object,Hispanic,Fresno,CA,not,True,True,"Fresno Police Department, CA",2019.0
4351,2019-06-08,39.0,male,gun,Black,Clearwater,FL,not,False,False,"Clearwater Police Department, FL",2019.0
4352,2019-06-09,32.0,male,gun,Hispanic,Menifee,CA,car,False,False,"Riverside County Sheriff's Department, CA",2019.0
4353,2019-06-09,41.0,male,gun,White,Shirley,AR,not,False,False,"Van Buren County Sheriff's Office, AR",2019.0
4354,2019-06-09,38.0,male,knife,White,Portland,OR,not,False,False,"Portland Police Department, OR",2019.0
4355,2019-06-09,20.0,male,gun,Black,Fort Worth,TX,foot,False,False,"Fort Worth Police Department, TX",2019.0
4356,2019-06-10,19.0,male,gun,Black,Lawton,OK,car,False,True,"Lawton Police Department, OK",2019.0
4357,2019-06-10,24.0,male,gun,Black,Oklahoma City,OK,not,True,False,"Oklahoma City Police Department, OK",2019.0
4358,2019-06-10,37.40950678304764,male,vehicle,White,Kingsport,TN,not,False,False,"Sullivan County Sheriff's Office, TN",2019.0
4359,2019-06-11,52.0,male,gun,Unknown,Riverside,CA,not,False,False,"Riverside County Sheriff's Department, CA",2019.0
4360,2019-06-11,56.0,male,replica,Unknown,San Leandro,CA,not,True,True,"San Leandro Police Department, CA",2019.0
4361,2019-06-11,61.0,male,unknown,White,Hopkins County,TX,not,False,False,"Hopkins County Sheriff's Office, TX",2019.0
4362,2019-06-11,40.0,male,blunt_object,Hispanic,Orlando,FL,not,False,True,"Orange County Sheriff's Office, FL",2019.0
4363,2019-06-11,27.0,male,knife,Black,Porteau,OK,not,False,False,"LeFlore County Sheriff's Department, OK;Poteau Police Department, OK",2019.0
4364,2019-06-12,35.0,male,unarmed,Hispanic,Farmers Branch,TX,car,False,False,"Farmers Branch Police Department, TX",2019.0
4365,2019-06-12,20.0,male,vehicle,Black,Memphis,TN,foot,False,False,"U.S. Marshals Service, TN",2019.0
4366,2019-06-13,22.0,male,vehicle,Black,Jacksonville,AR,car,False,False,"Jacksonville Police Department, AR",2019.0
4367,2019-06-13,17.0,male,vehicle,Black,Rockville,MD,car,False,False,"Montgomery County Police Department, MD",2019.0
4368,2019-06-14,37.40950678304764,male,undetermined,Unknown,Delano,CA,foot,False,False,"Delano Police Department, CA;Tulare County Sheriff's Department, CA",2019.0
4369,2019-06-15,18.0,male,gun,Black,Pearland,TX,not,False,False,"Pearland Police Department, TX",2019.0
4370,2019-06-15,38.0,male,knife,Hispanic,Toppenish,WA,not,False,False,"Toppenish Police Department, WA",2019.0
4371,2019-06-15,28.0,male,gun,Black,Birmingham,AL,car,False,False,"Birmingham Police Department, AL",2019.0
4372,2019-06-15,18.0,male,unknown,Black,Racine,WI,other,False,False,"Racine Police Department, WI",2019.0
4374,2019-06-15,45.0,male,gun,White,Belmont,NH,not,False,True,"Belmont Police Department, NH",2019.0
4375,2019-06-16,48.0,male,gun,White,Fairbanks,AK,not,False,False,"Alaska State Troopers, AK",2019.0
4377,2019-06-16,53.0,male,knife,Black,South Bend,IN,not,False,False,"South Bend Police Department, IN",2019.0
4378,2019-06-17,22.0,male,gun,White,Dallas,TX,foot,False,True,"Federal Protective Service, TX",2019.0
4379,2019-06-17,35.0,male,gun,Hispanic,Las Cruces,NM,car,False,False,"Las Cruces Police Department, NM",2019.0
4380,2019-06-17,20.0,male,vehicle,Hispanic,Brownsville,TX,car,False,False,"Brownsville Police Department, TX",2019.0
4381,2019-06-18,74.0,male,replica,Black,Syracuse,NY,not,False,False,"Syracuse Police Department, NY",2019.0
4382,2019-06-18,34.0,male,gun,Unknown,Friendly Hills,CO,not,False,False,"Jefferson County Sheriff's Department, CO",2019.0
